,pretrain_data,target,MSE,MAE,seed,model
0,ETTh1,ETTh1,0.43783377223239744,0.4488627794948436,2021,CoST
1,ETTh1,ETTh2,0.24299125886338724,0.34153903979266503,2021,CoST
2,ETTh1,ETTm1,0.33984693296036983,0.37993469390325163,2021,CoST
3,ETTh1,ETTm2,0.1622819451653472,0.27834765167952535,2021,CoST
4,ETTh1,electricity,0.17712940136048766,0.279599383725864,2021,CoST
5,ETTh1,traffic,0.47531169455180117,0.33581627445273704,2021,CoST
6,ETTh1,exchange,0.12135785082067502,0.25248121915861776,2021,CoST
7,ETTh1,weather,0.2369883441408131,0.32062641433298655,2021,CoST
8,ETTh2,ETTh1,0.4346433966329903,0.44788666243179026,2021,CoST
9,ETTh2,ETTh2,0.2447736422314163,0.34405892125702586,2021,CoST
10,ETTh2,ETTm1,0.3398678226450043,0.38032778491172164,2021,CoST
11,ETTh2,ETTm2,0.16228722215270452,0.27875204611027976,2021,CoST
12,ETTh2,electricity,0.1771884055683181,0.27968937341810723,2021,CoST
13,ETTh2,traffic,0.47384565729555395,0.3348687851869993,2021,CoST
14,ETTh2,exchange,0.11944889365735493,0.2505958588300729,2021,CoST
15,ETTh2,weather,0.2418102062014198,0.3275650461103418,2021,CoST
16,ETTm1,ETTh1,0.43385699350855916,0.4475562846062045,2021,CoST
17,ETTm1,ETTh2,0.2457322110761216,0.3451893504410079,2021,CoST
18,ETTm1,ETTm1,0.33971028292882194,0.38003673201532967,2021,CoST
19,ETTm1,ETTm2,0.16410042798028734,0.28019807598811214,2021,CoST
20,ETTm1,electricity,0.1753821705107407,0.2780252150804539,2021,CoST
21,ETTm1,traffic,0.4735147922091457,0.3340391169220323,2021,CoST
22,ETTm1,exchange,0.12394556131893988,0.25502358797075725,2021,CoST
23,ETTm1,weather,0.23477161751542355,0.31559373446368594,2021,CoST
24,ETTm2,ETTh1,0.4345899122730602,0.44833652255921447,2021,CoST
25,ETTm2,ETTh2,0.24659827020059505,0.34639171085875553,2021,CoST
26,ETTm2,ETTm1,0.34028166759281553,0.3803394147001653,2021,CoST
27,ETTm2,ETTm2,0.1648240795943818,0.2815005132288561,2021,CoST
28,ETTm2,electricity,0.1754245511687563,0.27819167038040604,2021,CoST
29,ETTm2,traffic,0.4753379691287277,0.33532205659219205,2021,CoST
30,ETTm2,exchange,0.12395677136591526,0.2554168523187139,2021,CoST
31,ETTm2,weather,0.23026646482156782,0.3108844899669069,2021,CoST
32,electricity,ETTh1,0.4449669710557818,0.4562748781998555,2021,CoST
33,electricity,ETTh2,0.2435837724042019,0.3426377493870395,2021,CoST
34,electricity,ETTm1,0.33931864881485,0.3819864543603027,2021,CoST
35,electricity,ETTm2,0.16326752315588164,0.28054586809181054,2021,CoST
36,electricity,electricity,0.17004809174092117,0.27193024078570854,2021,CoST
37,electricity,traffic,0.47734286367793366,0.3297098207763571,2021,CoST
38,electricity,exchange,0.1743315096887084,0.2969314616696243,2021,CoST
39,electricity,weather,0.27603721461011677,0.35861249510864,2021,CoST
40,traffic,ETTh1,0.44028271659387924,0.456298974913878,2021,CoST
41,traffic,ETTh2,0.24435301475131457,0.34601667236445305,2021,CoST
42,traffic,ETTm1,0.3466409931138805,0.38989098603780575,2021,CoST
43,traffic,ETTm2,0.16409116751250674,0.2804942848087923,2021,CoST
44,traffic,electricity,0.18133260755998348,0.2880576509156395,2021,CoST
45,traffic,traffic,0.4805949567844909,0.33334553196943467,2021,CoST
46,traffic,exchange,0.15044081490254213,0.2840210684829008,2021,CoST
47,traffic,weather,0.21192995090705294,0.2916994333416375,2021,CoST
48,exchange,ETTh1,0.43608632579566226,0.44977982842752545,2021,CoST
49,exchange,ETTh2,0.24818029886540513,0.3480057876761751,2021,CoST
50,exchange,ETTm1,0.3412075661910197,0.38096307197288043,2021,CoST
51,exchange,ETTm2,0.16542253930472345,0.28181922559186734,2021,CoST
52,exchange,electricity,0.17667609700698697,0.2803067467017946,2021,CoST
53,exchange,traffic,0.4765150648891174,0.33789640167161805,2021,CoST
54,exchange,exchange,0.12573696909238016,0.2585406077069788,2021,CoST
55,exchange,weather,0.25245496617165164,0.3383805161384654,2021,CoST
56,weather,ETTh1,0.4362001659117958,0.44853230173810066,2021,CoST
57,weather,ETTh2,0.24633319197445142,0.34624678434733075,2021,CoST
58,weather,ETTm1,0.340232167404335,0.3813096021468935,2021,CoST
59,weather,ETTm2,0.1644680220816003,0.28086636058986736,2021,CoST
60,weather,electricity,0.1790519930020263,0.28153531125980596,2021,CoST
61,weather,traffic,0.47780025981679136,0.3376754198443664,2021,CoST
62,weather,exchange,0.11889104957371913,0.2501053704042904,2021,CoST
63,weather,weather,0.27493822624095493,0.3682464623963162,2021,CoST
64,ETTh1,ETTh1,0.4364423344706661,0.4475088750016898,2022,CoST
65,ETTh1,ETTh2,0.23995399344628932,0.3399843843592826,2022,CoST
66,ETTh1,ETTm1,0.3407155768528311,0.37876224028775685,2022,CoST
67,ETTh1,ETTm2,0.16426562894242158,0.28121931279150675,2022,CoST
68,ETTh1,electricity,0.1751135377156855,0.2775023783011067,2022,CoST
69,ETTh1,traffic,0.4781515984408199,0.3367362770304308,2022,CoST
70,ETTh1,exchange,0.15101172479511243,0.28031058604740655,2022,CoST
71,ETTh1,weather,0.2716616549393312,0.37200085810961525,2022,CoST
72,ETTh2,ETTh1,0.43302691333601595,0.4472489492612221,2022,CoST
73,ETTh2,ETTh2,0.23775715490720847,0.33915744959267374,2022,CoST
74,ETTh2,ETTm1,0.3405898696495086,0.379160386366725,2022,CoST
75,ETTh2,ETTm2,0.16423400006373373,0.281688839034896,2022,CoST
76,ETTh2,electricity,0.1759827347142536,0.2783987678949712,2022,CoST
77,ETTh2,traffic,0.47632329622597214,0.33517841394547315,2022,CoST
78,ETTh2,exchange,0.15270973876732888,0.28515169009789726,2022,CoST
79,ETTh2,weather,0.2758341250908182,0.37644078014721777,2022,CoST
80,ETTm1,ETTh1,0.43168418672296305,0.44686383272251123,2022,CoST
81,ETTm1,ETTh2,0.23782027462751806,0.3396924958189511,2022,CoST
82,ETTm1,ETTm1,0.3395520884817886,0.37853638463522726,2022,CoST
83,ETTm1,ETTm2,0.16351422692416492,0.28041140211943416,2022,CoST
84,ETTm1,electricity,0.17481253262755428,0.2774268011470401,2022,CoST
85,ETTm1,traffic,0.4764555974659251,0.33527756127752956,2022,CoST
86,ETTm1,exchange,0.1323393989432742,0.2634285714080099,2022,CoST
87,ETTm1,weather,0.26049363576672246,0.3523868067795195,2022,CoST
88,ETTm2,ETTh1,0.4324960232548618,0.44749781129175475,2022,CoST
89,ETTm2,ETTh2,0.2385229154396653,0.34059817348422516,2022,CoST
90,ETTm2,ETTm1,0.3408382123069849,0.37921848261276586,2022,CoST
91,ETTm2,ETTm2,0.1644493916463319,0.2820130642233281,2022,CoST
92,ETTm2,electricity,0.17500216277884148,0.27774922878125735,2022,CoST
93,ETTm2,traffic,0.47771553152448876,0.3358997101168376,2022,CoST
94,ETTm2,exchange,0.14311193403784953,0.2750311075092206,2022,CoST
95,ETTm2,weather,0.2823355144911041,0.37759086020098354,2022,CoST
96,electricity,ETTh1,0.43108968608965814,0.4455276878636537,2022,CoST
97,electricity,ETTh2,0.23575123981590942,0.33795769434214606,2022,CoST
98,electricity,ETTm1,0.33896323054386224,0.3787984655357707,2022,CoST
99,electricity,ETTm2,0.16053961082768053,0.2776127879705604,2022,CoST
100,electricity,electricity,0.16878625535694272,0.2701460579888983,2022,CoST
101,electricity,traffic,0.4782625440452625,0.3283063534606522,2022,CoST
102,electricity,exchange,0.19735356273720012,0.3194918244787314,2022,CoST
103,electricity,weather,0.30859463813442645,0.409455660098259,2022,CoST
104,traffic,ETTh1,0.43157777204494724,0.44732563410992243,2022,CoST
105,traffic,ETTh2,0.2418295703865724,0.3447512197060832,2022,CoST
106,traffic,ETTm1,0.33828137411624687,0.3798038852967288,2022,CoST
107,traffic,ETTm2,0.16337417237615656,0.28098397225543637,2022,CoST
108,traffic,electricity,0.17688570304645015,0.28306669133011886,2022,CoST
109,traffic,traffic,0.47687257722761217,0.33088161978504693,2022,CoST
110,traffic,exchange,0.24219720238692755,0.3589638246966191,2022,CoST
111,traffic,weather,0.26897978270407313,0.3570296984897734,2022,CoST
112,exchange,ETTh1,0.4348023185721194,0.44956989640520256,2022,CoST
113,exchange,ETTh2,0.23735529444987166,0.34026593819287104,2022,CoST
114,exchange,ETTm1,0.3414659109802602,0.3792138409377365,2022,CoST
115,exchange,ETTm2,0.16463349772525013,0.2813649121796918,2022,CoST
116,exchange,electricity,0.17582755218113097,0.2794031965404346,2022,CoST
117,exchange,traffic,0.48029931574589363,0.33904690133371007,2022,CoST
118,exchange,exchange,0.15616986129454316,0.2863508224796434,2022,CoST
119,exchange,weather,0.2496141430273485,0.33962912010530366,2022,CoST
120,weather,ETTh1,0.4343261165753619,0.44786244195361957,2022,CoST
121,weather,ETTh2,0.24207991527561418,0.3439632973429506,2022,CoST
122,weather,ETTm1,0.34284631123587006,0.3813161202340548,2022,CoST
123,weather,ETTm2,0.16448896234292582,0.28178733518972976,2022,CoST
124,weather,electricity,0.17753799567421066,0.27975757953588937,2022,CoST
125,weather,traffic,0.4807497712837664,0.337934873508626,2022,CoST
126,weather,exchange,0.14016388438707225,0.271203660642168,2022,CoST
127,weather,weather,0.2956508145827412,0.3996978985824591,2022,CoST
128,ETTh1,ETTh1,0.43694540961915873,0.44725355978591763,2023,CoST
129,ETTh1,ETTh2,0.2403331127278778,0.3397307834684277,2023,CoST
130,ETTh1,ETTm1,0.34105149233648757,0.3796989975840782,2023,CoST
